"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"1232","Food prep nes","Including both crop and livestock products. Inter alia: homogenized composite food preparations; soups and broths; ketchup and other sauces; mixed condiments and seasonings; vinegar and substitutes; yeast and baking powders; stuffed pasta, whether or not cooked; couscous; and protein concentrates. Including turtle eggs and birds' nests.","","041000, 190220, 190230, 190240, 210210, 210220, 210230, 210320, 210390, 210410, 210420, 210610, 210690, 220900","041000, 190220, 190230, 190240, 210210, 210220, 210230, 210320, 210390, 210410, 210420, 210610, 210690, 220900","F1232"
"115","Food preparations, flour, malt extract","Food preparations of flour, meal, starch or malt extracts, that either do not contain, or contain less than 50%, cocoa powder. Also, food preparations of milk that either do not contain, or contain less than 10%, cocoa powder.","","190190","190190","23999.02"
"653","Food wastes","Sweetened forage and preparations of a kind used for animal feed, e.g. wine lees, argol.","","230700, 230990","230700, 230990","39170.01"
"640","Forage and silage, clover","Trifolium spp.. Various species grown for pasture, green fodder or silage.","","121490","121490","01919.03"
"639","Forage and silage, grasses nes","Including inter alia: bent, redtop, fiorin grass (Agrostis spp.); bluegrass (Poa spp.); Columbus grass (Sorghum almum); fescue (Festuca spp.); Napier, elephant grass (Pennisetum purpureum); orchard grass (Dactylis glomerata); Rhodes grass (Chloris gayana); Sudan grass (Sorghum vulgare var. sudanense); Timothy grass (Phleum pratense). Includes species used for cereal production, if cut green for fodder.","","121490","121490","01919.91"
"643","Forage and silage, legumes","Including inter alia: birdsfoot, trefoil (Lotus corniculatus); lespedeza (Lespedeza spp.); kudzu (Pueraria lobata); sesbania (Sesbania spp.); sainfoin, esparcette (Onobrychis sativa); sulla (Hedysarum coronarium). Includes species of pulses, if harvested for fodder.","","121490","121490","01919.92"
"651","Forage products","Plants specifically grown for animal feed.","","121490","121490","01919.96"
"166","Fructose and syrup, other","Monosaccharide found in fruits and honey, commercially produced from glucose, sucrose or by hydrolysis of inulin (polysaccharide found mainly in the tubers of the dahlia and the Jerusalem artichoke). Especially suitable for use by diabetics.","","170260","170260","23210.03"
"626","Fruit, cooked, homogenized preparations","Cooked fruit preparations, homogenized for dietetic and infant foods.","","200710","200710","23991.03"
"620","Fruit, dried nes","Dried fruit other than apricots, dates, citrus, figs, grapes, nuts and plums.","","081330, 081340, 081350","081330, 081340, 081350","21419.99"
"619","Fruit, fresh nes","Including inter alia: azarole (Crataegus azarolus); babaco (Carica pentagona); elderberry (Sambucus nigra); jujube (Zizyphus jujuba); litchi (nephelium litchi); loquat (Eriobotrya japonica); medlar (Mespilus germanica); pawpaw (Asimina triloba); pomegranate (Punica granatum); prickly pear (Opuntia ficus-indica); rose hips (Rosa spp.); rowanberry (Sorbus aucuparia); service-apple (Sorbus domestica); tamarind (Tamarindus indica); tree-strawberry (Arbutus unedo). Other fresh fruit that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report fresh fruit under this heading that are classified separately by FAO.","","081090","081090","01359.90"
"623","Fruit, prepared nes","Fruit, nuts and peel, including frozen, prepared or preserved, jam, paste, marmalade, pur‚e and cooked fruits, other than those listed separately.","","081110, 081120, 081190, 081210, 081290, 081400, 200190, 200791, 200799, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200892, 200899","081110, 081120, 081190, 081210, 081290, 081400, 200190, 200791, 200799, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200893, 200897, 200899","F0623"
